id,latitude,longitude,severity_score,road_name,type,region
52,27.215,73.6314,4.1,Peshawar Rd,ACCIDENT,London
53,25.6115,70.937,4.7,GT Road,ACCIDENT,London
54,32.7631,71.7331,4.7,Ring Road,ROAD_WORKS,London
55,25.0934,72.133,8.2,Mall Road,ROAD_WORKS,London
56,26.0193,67.684,2.8,M-2 Motorway,ACCIDENT,London
57,31.6552,70.3256,6.6,Ring Road,ROAD_WORKS,Pakistan
58,33.9728,67.2771,8.1,Ring Road,ACCIDENT,Pakistan
59,25.0529,69.645,2.3,Shahrah-e-Faisal,ROAD_WORKS,London
60,34.5897,70.3316,2.7,M-2 Motorway,ACCIDENT,London
61,36.7502,69.8525,8.4,Peshawar Rd,ROAD_WORKS,Pakistan
62,32.1276,70.0298,3.1,Mall Road,TRAFFIC_JAM,Pakistan
63,26.0058,67.7736,5.2,Shahrah-e-Faisal,ACCIDENT,London
64,30.6864,68.8335,1.3,Peshawar Rd,ACCIDENT,Pakistan
65,28.8507,74.8292,3.7,Ring Road,TRAFFIC_JAM,Pakistan
66,27.93,70.1381,7.8,Ring Road,ROAD_CLOSURE,Pakistan
67,33.948,69.3218,2.1,Shahrah-e-Faisal,ROAD_CLOSURE,Pakistan
68,27.9181,72.4899,1.3,Mall Road,TRAFFIC_JAM,London
69,35.4372,73.7776,4.2,Mall Road,ACCIDENT,London
70,28.7457,74.6192,6.0,M-2 Motorway,ROAD_WORKS,Pakistan
71,34.7037,74.655,2.0,Mall Road,TRAFFIC_JAM,London
72,31.8841,70.4328,9.8,M-2 Motorway,TRAFFIC_JAM,Pakistan
73,32.9853,70.8802,6.2,GT Road,ROAD_CLOSURE,London
74,25.6019,71.1755,3.3,Ring Road,ACCIDENT,Pakistan
75,35.6763,68.4723,3.4,Peshawar Rd,ROAD_CLOSURE,Pakistan
76,25.8408,73.1514,9.4,GT Road,ACCIDENT,London
77,28.9522,74.7321,10.0,Ring Road,ROAD_WORKS,London
78,32.8434,73.9244,2.6,Peshawar Rd,ROAD_WORKS,London
79,25.2471,67.3898,6.4,M-2 Motorway,TRAFFIC_JAM,Pakistan
80,36.4978,67.6162,1.5,Mall Road,ROAD_WORKS,London
81,30.8594,74.2324,8.5,M-2 Motorway,TRAFFIC_JAM,Pakistan
82,34.9337,72.0294,2.6,Shahrah-e-Faisal,ACCIDENT,London
83,25.5523,69.3114,8.2,Peshawar Rd,TRAFFIC_JAM,Pakistan
84,25.0799,68.8097,6.2,Shahrah-e-Faisal,ACCIDENT,Pakistan
85,26.7067,71.1114,3.0,M-2 Motorway,ACCIDENT,Pakistan
86,34.6316,67.6438,5.1,Mall Road,TRAFFIC_JAM,Pakistan
87,26.695,68.7172,5.3,Peshawar Rd,ACCIDENT,Pakistan
88,30.0081,69.6635,4.8,Ring Road,ROAD_CLOSURE,Pakistan
89,25.3588,71.9706,6.8,Ring Road,TRAFFIC_JAM,London
90,27.3629,67.0401,6.6,Shahrah-e-Faisal,ROAD_CLOSURE,London
91,36.5315,72.5798,8.9,GT Road,ROAD_WORKS,London
92,25.3765,68.8189,1.6,Mall Road,TRAFFIC_JAM,Pakistan
93,36.3848,69.8433,9.4,Mall Road,ACCIDENT,Pakistan
94,28.1045,70.0099,9.6,GT Road,ROAD_CLOSURE,Pakistan
95,35.074,68.4418,2.2,Ring Road,ROAD_WORKS,London
96,30.9106,69.199,5.8,Shahrah-e-Faisal,ROAD_WORKS,London
97,34.6641,68.376,7.6,Peshawar Rd,ACCIDENT,London
98,36.2298,71.0727,3.6,Shahrah-e-Faisal,ROAD_WORKS,London
99,34.3619,67.833,3.4,Shahrah-e-Faisal,ROAD_CLOSURE,London
100,26.9958,71.9201,5.8,Mall Road,ROAD_CLOSURE,Pakistan
101,25.5742,67.1436,2.7,Ring Road,ACCIDENT,London
102,26.9849,69.8603,7.2,GT Road,ROAD_WORKS,Pakistan
103,36.3552,70.8834,2.0,Ring Road,ROAD_WORKS,London
104,27.2441,69.9323,8.7,M-2 Motorway,ACCIDENT,Pakistan
105,35.1806,74.7459,5.1,GT Road,ACCIDENT,London
106,25.5616,67.3385,7.3,Ring Road,ROAD_WORKS,London
107,30.6989,68.6224,1.4,Shahrah-e-Faisal,ROAD_WORKS,London
108,25.64,72.0087,8.1,M-2 Motorway,ACCIDENT,Pakistan
109,24.4461,68.5632,1.6,GT Road,ROAD_CLOSURE,London
110,28.6001,74.375,4.4,Peshawar Rd,ROAD_CLOSURE,Pakistan
111,24.4305,71.8765,4.9,Peshawar Rd,ROAD_WORKS,Pakistan
112,26.5523,67.0881,5.5,Shahrah-e-Faisal,ROAD_WORKS,London
113,34.1231,74.1641,3.5,M-2 Motorway,ROAD_WORKS,London
114,36.8176,68.0731,3.5,Mall Road,ROAD_CLOSURE,London
115,25.3816,72.703,4.8,Peshawar Rd,ROAD_WORKS,London
116,32.0334,70.1356,7.2,Ring Road,ROAD_WORKS,Pakistan
117,35.3434,72.4113,4.4,GT Road,ROAD_WORKS,Pakistan
118,30.0534,70.244,4.3,Mall Road,ACCIDENT,London
119,28.7747,70.2828,9.9,Peshawar Rd,ROAD_WORKS,Pakistan
120,25.0423,73.6822,7.0,Shahrah-e-Faisal,ROAD_CLOSURE,Pakistan
121,32.3367,71.1064,3.9,M-2 Motorway,ACCIDENT,Pakistan
122,27.3852,72.495,3.5,Mall Road,ROAD_WORKS,London
123,28.8905,71.0046,9.6,Mall Road,TRAFFIC_JAM,London
124,31.2835,72.4,8.1,Peshawar Rd,ROAD_CLOSURE,Pakistan
125,30.5321,67.4311,4.2,Peshawar Rd,ROAD_CLOSURE,London
126,28.2068,74.7876,7.9,Ring Road,ROAD_WORKS,London
127,25.6478,67.2419,9.8,Ring Road,ROAD_WORKS,Pakistan
128,31.1734,67.321,4.7,Shahrah-e-Faisal,ACCIDENT,Pakistan
129,35.8371,69.0585,3.1,Peshawar Rd,ACCIDENT,Pakistan
130,26.0027,74.0591,2.9,Shahrah-e-Faisal,TRAFFIC_JAM,London
131,31.1699,68.0719,6.8,M-2 Motorway,ROAD_CLOSURE,Pakistan
132,33.2348,71.5147,7.2,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
133,36.9801,69.0116,3.0,Ring Road,ROAD_WORKS,London
134,34.4269,71.8069,6.0,GT Road,ROAD_WORKS,Pakistan
135,36.796,72.4374,3.1,GT Road,ROAD_WORKS,Pakistan
136,33.2578,68.2364,3.2,GT Road,ROAD_CLOSURE,London
137,35.3155,73.8427,8.4,M-2 Motorway,ROAD_CLOSURE,London
138,29.4435,67.0337,8.6,Mall Road,ACCIDENT,London
139,27.7037,70.01,7.1,M-2 Motorway,ROAD_CLOSURE,Pakistan
140,25.5786,73.2259,1.8,Peshawar Rd,ROAD_CLOSURE,Pakistan
141,28.6539,69.9942,6.7,GT Road,ROAD_CLOSURE,London
142,28.2237,72.3994,9.3,Mall Road,TRAFFIC_JAM,London
143,26.8074,70.8216,7.8,Peshawar Rd,ROAD_WORKS,London
144,28.0836,73.4661,6.1,Mall Road,TRAFFIC_JAM,London
145,33.3536,69.3234,6.7,Peshawar Rd,TRAFFIC_JAM,Pakistan
146,25.1006,68.6873,4.4,Peshawar Rd,ROAD_CLOSURE,London
147,27.1257,67.6959,7.9,Ring Road,ROAD_WORKS,London
148,32.1601,72.99,3.1,Mall Road,ROAD_CLOSURE,Pakistan
149,24.0565,68.7438,6.7,M-2 Motorway,ACCIDENT,Pakistan
150,30.4311,74.2187,3.0,Shahrah-e-Faisal,ROAD_CLOSURE,Pakistan
151,34.5685,70.6396,6.1,Ring Road,ROAD_WORKS,Pakistan
152,34.6216,71.111,9.7,GT Road,ACCIDENT,London
153,32.8972,68.235,2.8,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
154,31.1986,69.5891,5.9,M-2 Motorway,ACCIDENT,London
155,35.9221,73.022,7.1,Ring Road,ROAD_CLOSURE,Pakistan
156,29.4295,73.261,7.4,Mall Road,TRAFFIC_JAM,London
157,25.2951,67.6333,8.1,Mall Road,ROAD_WORKS,London
158,29.5788,71.6313,4.9,GT Road,ACCIDENT,Pakistan
159,25.128,68.9043,7.9,Ring Road,TRAFFIC_JAM,London
160,33.4095,70.2569,2.2,GT Road,ACCIDENT,London
161,35.5819,71.9506,6.2,Peshawar Rd,ACCIDENT,Pakistan
162,30.2171,67.5484,4.6,Shahrah-e-Faisal,TRAFFIC_JAM,London
163,32.55,69.7812,9.1,Ring Road,ROAD_WORKS,Pakistan
164,27.4987,68.8313,5.5,GT Road,ROAD_WORKS,Pakistan
165,36.6767,72.3163,5.6,Mall Road,ROAD_CLOSURE,London
166,26.1388,73.0365,4.3,GT Road,ROAD_CLOSURE,Pakistan
167,30.5759,71.6729,3.6,Peshawar Rd,TRAFFIC_JAM,London
168,25.4987,70.9051,3.5,Mall Road,TRAFFIC_JAM,Pakistan
169,29.8049,71.6663,9.4,Peshawar Rd,ROAD_WORKS,London
170,24.8863,71.6593,7.6,Mall Road,ACCIDENT,London
171,33.0804,73.0908,2.6,GT Road,TRAFFIC_JAM,London
172,35.5233,72.6708,3.4,Peshawar Rd,ACCIDENT,Pakistan
173,34.1681,70.772,1.2,Peshawar Rd,ROAD_CLOSURE,Pakistan
174,36.3682,74.5121,7.2,GT Road,ROAD_WORKS,Pakistan
175,31.1742,70.5736,4.5,Mall Road,ACCIDENT,London
176,25.3508,70.6952,5.7,Mall Road,ACCIDENT,London
177,27.2409,68.2517,3.3,GT Road,ROAD_WORKS,Pakistan
178,30.5826,74.9897,4.3,Mall Road,ROAD_CLOSURE,London
179,36.9233,73.0315,7.7,Ring Road,ROAD_WORKS,Pakistan
180,24.8676,74.0885,3.0,Mall Road,ACCIDENT,London
181,26.4066,71.5151,5.0,GT Road,ROAD_CLOSURE,London
182,26.1358,67.1297,6.4,Shahrah-e-Faisal,ROAD_CLOSURE,London
183,36.0384,72.2804,1.1,Peshawar Rd,TRAFFIC_JAM,London
184,35.9198,71.8791,9.1,M-2 Motorway,ROAD_WORKS,Pakistan
185,24.017,74.1076,7.3,Ring Road,ROAD_CLOSURE,Pakistan
186,32.1264,68.3354,5.6,Peshawar Rd,ROAD_CLOSURE,London
187,26.3043,73.755,9.2,Peshawar Rd,ROAD_CLOSURE,London
188,35.6478,71.1092,4.6,Mall Road,ROAD_WORKS,London
189,35.6039,68.6896,6.3,GT Road,ROAD_WORKS,London
190,25.5532,70.9228,8.7,Peshawar Rd,ROAD_WORKS,Pakistan
191,35.0874,68.6429,4.8,M-2 Motorway,ROAD_WORKS,London
192,34.8571,72.951,9.3,Ring Road,TRAFFIC_JAM,London
193,31.6527,73.5551,9.5,Ring Road,ROAD_CLOSURE,London
194,29.9546,74.9832,7.0,Peshawar Rd,ROAD_WORKS,London
195,26.1898,70.7052,1.2,Ring Road,ACCIDENT,Pakistan
196,33.484,72.9453,2.0,Peshawar Rd,ROAD_WORKS,Pakistan
197,24.47,71.6666,3.4,Shahrah-e-Faisal,ACCIDENT,London
198,32.9601,74.8408,6.7,Mall Road,ROAD_WORKS,Pakistan
199,26.1347,71.8182,7.4,Ring Road,ACCIDENT,London
200,30.9822,70.9797,8.8,Mall Road,ROAD_WORKS,London
201,36.2213,74.5604,3.4,GT Road,ROAD_WORKS,Pakistan
202,32.6098,68.2786,2.4,Ring Road,ROAD_CLOSURE,London
203,29.332,69.4954,5.3,Ring Road,ROAD_CLOSURE,Pakistan
204,32.3287,67.2689,6.1,Shahrah-e-Faisal,ACCIDENT,London
205,25.5347,72.4327,2.8,GT Road,ROAD_CLOSURE,London
206,29.8072,67.8572,2.3,Mall Road,ROAD_CLOSURE,London
207,26.0782,73.7705,4.3,Peshawar Rd,TRAFFIC_JAM,Pakistan
208,26.384,73.9608,3.1,Peshawar Rd,ROAD_CLOSURE,London
209,24.4645,72.6136,3.3,GT Road,ROAD_CLOSURE,London
210,35.018,74.5009,8.6,GT Road,ROAD_WORKS,Pakistan
211,35.2213,68.7045,4.7,Peshawar Rd,ROAD_CLOSURE,Pakistan
212,36.1868,67.261,6.9,Mall Road,TRAFFIC_JAM,London
213,34.7224,72.8005,4.2,Shahrah-e-Faisal,ACCIDENT,London
214,25.9893,71.685,6.5,Shahrah-e-Faisal,TRAFFIC_JAM,London
215,33.3331,74.8598,2.4,GT Road,TRAFFIC_JAM,London
216,35.2979,71.3696,1.1,GT Road,TRAFFIC_JAM,London
217,36.8468,68.3947,5.5,Shahrah-e-Faisal,ACCIDENT,Pakistan
218,33.7198,68.2586,5.4,M-2 Motorway,ROAD_WORKS,Pakistan
219,34.2078,69.9856,8.9,Peshawar Rd,ACCIDENT,London
220,27.5866,70.9994,8.3,Mall Road,TRAFFIC_JAM,Pakistan
221,24.4353,67.7389,6.9,Ring Road,ROAD_WORKS,Pakistan
222,30.8168,72.5683,7.5,Shahrah-e-Faisal,ACCIDENT,Pakistan
223,36.1359,71.1438,4.6,Shahrah-e-Faisal,TRAFFIC_JAM,Pakistan
224,32.5238,73.1311,4.3,Shahrah-e-Faisal,ROAD_CLOSURE,London
225,35.8477,71.5364,6.7,GT Road,TRAFFIC_JAM,Pakistan
226,36.1515,73.7978,2.3,Shahrah-e-Faisal,TRAFFIC_JAM,London
227,28.7082,71.8301,2.0,Mall Road,TRAFFIC_JAM,Pakistan
228,24.0615,69.4791,7.7,Peshawar Rd,TRAFFIC_JAM,Pakistan
229,28.8712,73.3937,7.6,Shahrah-e-Faisal,ACCIDENT,Pakistan
230,24.5804,69.1835,2.8,Ring Road,ROAD_WORKS,Pakistan
231,24.9881,68.7843,9.3,M-2 Motorway,ACCIDENT,London
232,35.0637,74.5062,2.5,Mall Road,ROAD_CLOSURE,Pakistan
233,29.6128,67.2161,8.6,Ring Road,ROAD_WORKS,London
234,33.8536,71.9002,7.5,Mall Road,ROAD_WORKS,London
235,25.4868,74.4064,7.4,M-2 Motorway,ROAD_CLOSURE,London
236,30.0621,73.1251,7.1,M-2 Motorway,TRAFFIC_JAM,London
237,24.6484,72.3983,5.3,Mall Road,ROAD_WORKS,Pakistan
238,29.8523,73.412,2.7,GT Road,TRAFFIC_JAM,London
239,27.3362,72.3901,6.6,M-2 Motorway,ROAD_CLOSURE,London
240,28.0263,71.1075,6.6,M-2 Motorway,ROAD_CLOSURE,Pakistan
241,33.8107,70.8133,4.9,Mall Road,ROAD_CLOSURE,London
242,24.3093,70.9971,8.3,Shahrah-e-Faisal,TRAFFIC_JAM,Pakistan
243,25.6559,72.9534,2.4,Mall Road,ROAD_CLOSURE,Pakistan
244,35.9426,74.347,6.0,Mall Road,ACCIDENT,London
245,24.3022,67.2219,2.6,Ring Road,ROAD_WORKS,London
246,28.6305,69.6084,9.4,Peshawar Rd,TRAFFIC_JAM,London
247,33.2914,74.0434,8.9,M-2 Motorway,ROAD_CLOSURE,London
248,25.5355,67.5387,5.9,M-2 Motorway,TRAFFIC_JAM,London
249,35.9335,72.4921,5.2,Peshawar Rd,ACCIDENT,London
250,30.4927,74.6354,4.4,M-2 Motorway,ROAD_CLOSURE,London
251,34.4013,72.3838,5.5,Peshawar Rd,TRAFFIC_JAM,Pakistan
252,25.2112,71.1948,5.3,Peshawar Rd,ACCIDENT,Pakistan
253,24.9152,70.9819,2.9,Peshawar Rd,ROAD_CLOSURE,Pakistan
254,36.9865,68.9447,2.8,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
255,27.4796,70.9362,4.9,Peshawar Rd,ACCIDENT,Pakistan
256,36.9647,67.7317,3.4,Peshawar Rd,ROAD_WORKS,London
257,31.7455,67.0665,2.4,Ring Road,ROAD_CLOSURE,London
258,28.7366,74.4167,4.0,GT Road,ROAD_WORKS,London
259,30.0445,73.342,4.1,Ring Road,ROAD_WORKS,Pakistan
260,26.3334,67.7994,2.8,Mall Road,TRAFFIC_JAM,London
261,28.3554,74.1029,6.3,M-2 Motorway,ROAD_CLOSURE,Pakistan
262,31.2678,73.2334,8.2,Peshawar Rd,ACCIDENT,London
263,26.4268,74.3918,8.9,M-2 Motorway,ACCIDENT,London
264,35.6291,70.8835,2.9,GT Road,TRAFFIC_JAM,Pakistan
265,35.7646,68.0672,3.3,GT Road,ROAD_WORKS,London
266,31.5043,74.1646,3.8,Shahrah-e-Faisal,ACCIDENT,Pakistan
267,35.8907,72.8817,5.9,Mall Road,ROAD_WORKS,Pakistan
268,25.1538,71.49,4.4,M-2 Motorway,TRAFFIC_JAM,London
269,31.0186,68.3914,9.6,Peshawar Rd,TRAFFIC_JAM,London
270,26.2339,74.6289,8.7,Shahrah-e-Faisal,ACCIDENT,Pakistan
271,29.0899,72.1859,7.1,Ring Road,ROAD_CLOSURE,London
272,35.8222,68.8031,4.2,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
273,30.1172,71.2363,2.5,Mall Road,ACCIDENT,London
274,26.5235,72.2812,5.2,Mall Road,TRAFFIC_JAM,London
275,29.6083,67.8831,7.7,Ring Road,TRAFFIC_JAM,Pakistan
276,34.0035,73.8968,2.6,Ring Road,ROAD_CLOSURE,Pakistan
277,24.1514,71.564,9.6,GT Road,ROAD_CLOSURE,Pakistan
278,24.3493,68.6829,8.1,Peshawar Rd,ROAD_WORKS,Pakistan
279,27.2999,71.6931,4.7,Peshawar Rd,ROAD_CLOSURE,Pakistan
280,32.2932,67.1002,8.3,Ring Road,TRAFFIC_JAM,Pakistan
281,27.1848,72.1875,3.0,GT Road,ACCIDENT,London
282,29.1043,72.2753,5.3,Peshawar Rd,ACCIDENT,Pakistan
283,27.3218,68.3942,8.4,Mall Road,ROAD_CLOSURE,London
284,24.7857,68.1101,9.4,Shahrah-e-Faisal,ACCIDENT,London
285,28.2302,74.0286,1.4,Ring Road,TRAFFIC_JAM,Pakistan
286,27.596,74.3413,6.5,GT Road,ROAD_WORKS,London
287,25.1348,67.3498,5.4,GT Road,ACCIDENT,London
288,28.0866,71.3139,3.5,GT Road,ROAD_WORKS,London
289,28.1505,69.6758,5.4,M-2 Motorway,ACCIDENT,London
290,27.2745,69.2118,5.9,Peshawar Rd,ROAD_WORKS,Pakistan
291,29.3837,67.8903,5.7,M-2 Motorway,ROAD_CLOSURE,London
292,27.8833,67.1957,7.1,GT Road,TRAFFIC_JAM,Pakistan
293,29.6663,73.6478,6.5,Ring Road,ROAD_CLOSURE,London
294,26.4353,71.981,1.0,Ring Road,ROAD_WORKS,London
295,26.7191,73.8562,4.3,Ring Road,TRAFFIC_JAM,Pakistan
296,33.7807,69.8372,8.7,Mall Road,ACCIDENT,London
297,33.4,74.3788,2.2,GT Road,ROAD_WORKS,London
298,25.1536,74.5353,4.9,Peshawar Rd,ROAD_WORKS,Pakistan
299,24.8915,74.5881,5.3,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
300,29.8306,72.6764,8.2,Shahrah-e-Faisal,ACCIDENT,Pakistan
301,24.7599,68.7242,2.8,Ring Road,TRAFFIC_JAM,Pakistan
302,30.69,72.6521,5.8,Ring Road,TRAFFIC_JAM,London
303,26.8549,74.0987,1.5,Shahrah-e-Faisal,ROAD_WORKS,London
304,24.2315,74.9976,8.1,Shahrah-e-Faisal,ROAD_WORKS,London
305,29.1278,71.012,4.2,Shahrah-e-Faisal,TRAFFIC_JAM,London
306,31.3716,73.3198,3.6,Shahrah-e-Faisal,TRAFFIC_JAM,London
307,33.881,74.3443,5.4,M-2 Motorway,TRAFFIC_JAM,London
308,29.2611,67.1747,9.9,GT Road,ROAD_CLOSURE,London
309,30.868,73.2458,8.0,Ring Road,ROAD_WORKS,Pakistan
310,28.9515,70.7294,7.0,M-2 Motorway,ROAD_CLOSURE,London
311,31.8644,74.9295,9.6,Mall Road,ROAD_WORKS,London
312,28.4652,72.6113,4.3,Mall Road,ROAD_WORKS,Pakistan
313,29.1836,74.8297,9.5,Peshawar Rd,ROAD_WORKS,London
314,34.3515,69.0314,5.6,GT Road,ROAD_CLOSURE,Pakistan
315,36.3106,69.55,4.1,Mall Road,TRAFFIC_JAM,Pakistan
316,28.411,72.1309,3.6,Mall Road,ROAD_CLOSURE,London
317,36.2353,74.7376,9.7,Ring Road,TRAFFIC_JAM,London
318,29.8667,70.2427,5.6,Peshawar Rd,ROAD_CLOSURE,London
319,34.8776,71.8453,1.3,Ring Road,ROAD_WORKS,London
320,27.7044,73.0942,6.1,Peshawar Rd,ROAD_WORKS,Pakistan
321,26.4796,72.473,4.2,GT Road,TRAFFIC_JAM,London
322,32.3395,72.9816,1.7,GT Road,TRAFFIC_JAM,Pakistan
323,32.2183,72.9426,4.5,Peshawar Rd,TRAFFIC_JAM,Pakistan
324,29.1799,72.3851,6.2,Ring Road,ACCIDENT,London
325,36.6972,70.7876,7.1,M-2 Motorway,ROAD_WORKS,Pakistan
326,29.9964,70.4108,5.2,Mall Road,ACCIDENT,London
327,36.9055,74.4728,4.3,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
328,28.2025,74.7506,9.8,M-2 Motorway,ROAD_WORKS,Pakistan
329,33.4241,74.0344,4.3,Shahrah-e-Faisal,ROAD_WORKS,London
330,29.2934,73.6462,4.9,M-2 Motorway,TRAFFIC_JAM,London
331,26.2298,73.2171,5.1,M-2 Motorway,ROAD_WORKS,London
332,30.7507,71.9197,9.4,Ring Road,ACCIDENT,Pakistan
333,33.5299,68.0396,5.7,GT Road,TRAFFIC_JAM,London
334,35.1237,71.9465,3.9,Ring Road,ACCIDENT,London
335,28.8881,72.4748,7.2,Mall Road,TRAFFIC_JAM,London
336,26.7287,69.8742,6.2,Mall Road,ACCIDENT,Pakistan
337,33.5632,74.4217,4.2,Mall Road,TRAFFIC_JAM,Pakistan
338,26.6878,71.1911,8.4,M-2 Motorway,ROAD_CLOSURE,Pakistan
339,26.8784,72.2504,8.7,M-2 Motorway,ROAD_WORKS,London
340,30.6593,71.3018,9.2,Peshawar Rd,ROAD_WORKS,London
341,24.2423,74.1131,3.5,Peshawar Rd,ACCIDENT,London
342,28.1209,72.3532,5.8,M-2 Motorway,ROAD_CLOSURE,London
343,28.3838,68.1298,2.0,Shahrah-e-Faisal,TRAFFIC_JAM,Pakistan
344,24.7165,73.7219,5.7,Shahrah-e-Faisal,ACCIDENT,London
345,28.2051,73.3181,2.9,M-2 Motorway,ROAD_WORKS,London
346,34.6613,70.5732,8.7,M-2 Motorway,ROAD_CLOSURE,Pakistan
347,32.7729,67.3868,6.2,GT Road,ROAD_CLOSURE,Pakistan
348,34.8484,72.8575,3.9,Mall Road,ROAD_CLOSURE,Pakistan
349,25.6333,70.7,7.7,GT Road,TRAFFIC_JAM,Pakistan
350,24.4263,68.9603,3.6,Ring Road,TRAFFIC_JAM,London
351,30.5421,69.4904,6.6,Ring Road,ROAD_CLOSURE,London
352,33.7034,70.1838,9.0,Peshawar Rd,ACCIDENT,London
353,34.7449,72.0411,1.1,Peshawar Rd,TRAFFIC_JAM,London
354,36.8652,69.6888,3.0,Mall Road,ROAD_WORKS,Pakistan
355,32.806,70.3515,4.0,M-2 Motorway,ACCIDENT,London
356,24.2394,74.8087,6.7,M-2 Motorway,ACCIDENT,Pakistan
357,36.7869,74.0665,2.8,M-2 Motorway,TRAFFIC_JAM,Pakistan
358,33.3114,72.224,2.0,Ring Road,ROAD_CLOSURE,London
359,34.5268,69.894,3.2,GT Road,ACCIDENT,Pakistan
360,29.3455,71.8389,9.6,Mall Road,TRAFFIC_JAM,Pakistan
361,30.4403,69.2506,8.9,Ring Road,ACCIDENT,Pakistan
362,29.5507,73.2136,9.2,Mall Road,ROAD_CLOSURE,Pakistan
363,36.2447,73.2599,4.2,M-2 Motorway,ROAD_CLOSURE,London
364,33.6181,73.0961,7.2,Mall Road,ROAD_WORKS,Pakistan
365,25.1161,70.1592,2.6,Shahrah-e-Faisal,TRAFFIC_JAM,Pakistan
